4,ID,0.052039363,,,4,,ID,0.042321435,,,,,ID,0.064426415,,,,
,,,,,,,,,,,,,TARGET,0.009840086,,,,
,Best,log/no N/A,,,base,,,e^x,,,cluster,,,,,,,
,,,,imp_op_var41_ult1,0.008292319,0.006677972,,,,,24,,,,,,,
,,,,num_var22_hace3,0.007756094,0.006246139,,,,,26,,,,,,,
,,,,num_var45_ult3,0.007362684,0.005929318,,,,,27,,,,,,,
,,,,num_var22_hace2,0.006891269,0.005549678,,,,,28,,,,,,,
,,,,imp_ent_var16_ult1,0.006306233,0.005078536,,,,,30,,,,,,,
,,,,,,,imp_op_var40_comer_ult1,0.005711661,0.004214223,,,,,,,,,
0.004,,,,,,,,,,,,,,,,,,
22,imp_op_var41_comer_ult1,0.006253889,0.00476203,imp_op_var41_comer_ult1,0.002660058,0.002142198,imp_op_var41_comer_ult1,0.006675874,0.004925647,,31,,,,,,,
23,saldo_var42,0.005921945,0.004509271,saldo_var42,0.004115013,0.003313903,,,,,32,,,,,,,
25,saldo_medio_var8_ult3,0.004559894,0.003472136,saldo_medio_var8_ult3,0.003178394,0.002559625,saldo_medio_var8_ult3,0.005744673,0.004238581,,33,,,,,,,
,,,,num_var4,0.005635426,0.004538323,,,,,34,,,,,,,
,,,,num_med_var45_ult3,0.005334212,0.004295749,,,,,35,,,,,,,
,,,,saldo_var13_largo,0.004232877,0.003123135,,,,,,,,,,,,
24,saldo_var26,0.004622477,0.00351979,saldo_var26,0.002147832,0.001729692,saldo_var26,0.003522455,0.002598966,,36,,,,,,,
26,saldo_medio_var8_hace2,0.004417957,0.003364058,saldo_medio_var8_hace2,0.000546551,,saldo_medio_var8_hace2,0.004611229,0.003402294,,37,,,,,,,
,,,,num_op_var41_efect_ult3,0.003915086,0.003152898,,,,,39,,,,,,,
,,,,num_op_var41_ult3,0.003904475,0.003144353,,,,,40,,,,,,,
,,,,num_var35,0.003784114,0.003047423,,,,,41,,,,,,,
,,,,,,,,,,,,,,,,,,
0.002,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
28,saldo_var25,0.003396538,0.002586297,saldo_var25,0.000579017,0.000466294,,,,,42,,,,,,,
,,,,num_var42_0,0.003182915,0.002563266,,,,,43,,,,,,,
,,,,var36,0.002915221,0.002347686,,,,,45,,,,,,,
30,imp_op_var39_efect_ult1,0.002886919,0.002198247,imp_op_var39_efect_ult1,0.000546875,0.000440409,,,,,,,,,,,,
,,,,ind_var8_0,0.00252988,0.002037363,,,,,46,,imp_op_var40_efect_ult3,0.00019032,0.000140423,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,imp_amort_var34_ult1,0.002673471,0.001972562,,44,,,,,,,
,,,,,,,delta_imp_amort_var34_1y3,0.002511349,0.001852943,,,,,,,,,
,,,,,,,imp_var7_emit_ult1,0.002144821,0.001582509,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,num_op_var41_efect_ult1,0.002360237,0.001900747,,,,,47,,,,,,,
,,,,num_var37_med_ult2,0.00225558,0.001816464,,,,,48,,,,,,,
31,imp_op_var39_efect_ult3,0.002231631,0.001699278,imp_op_var39_efect_ult3,0.000684155,,imp_op_var39_efect_ult3,0.001462057,0.001078746,,,,,,,,,
,,,,num_med_var22_ult3,0.002189357,0.001763134,,,,,,,,,,,,
,,,,num_op_var41_hace2,0.002018871,0.001625838,,,,,,,,,,,,
,,,,num_op_var39_ult1,0.0019494,0.001569891,,,,,,,,,,,,
,,,,num_op_var41_ult1,0.001785698,0.001438059,,,,,,,,,,,,
32,saldo_medio_var12_hace2,0.001728707,0.001316326,,,,saldo_medio_var12_hace2,0.000796926,0.000587994,,,,,,,,,
,,,,num_op_var39_comer_ult1,0.002219342,0.001787281,,,,,,,,,,,,
,,,,num_op_var39_comer_ult3,0.001706123,0.001373975,,,,,,,,,,,,
,,,,num_var43_recib_ult1,0.001683852,0.00135604,,,,,,,,,,,,
,,,,num_var30_0,0.001509472,0.001215608,,,,,,,,,,,,
,,,,num_ent_var16_ult1,0.001382285,0.001113182,,,,,,,,,,,,
,,,,ind_var39_0,0.001308889,0.001054074,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
0.0009,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
33,imp_op_var40_ult1,0.001301606,0.000991109,imp_op_var40_ult1,0.000217902,0.000175481,imp_op_var40_ult1,0.001161273,0.00085682,,,,,,,,,
,,,,num_op_var41_comer_ult1,0.001211135,0.000975352,,,,,,,,,,,,
,,,,num_meses_var5_ult3,0.001125754,0.000906593,,,,,,,,,,,,
0.0008,,,,,,,,,,,,,,,,,,
,,,,,,,saldo_var40,0.001169378,0.0008628,,,,,,,,,
,,,,num_meses_var8_ult3,0.001089858,0.000877685,,,,,,,,,,,,
36,saldo_medio_var13_corto_hace2,0.001088707,0.000828997,saldo_medio_var13_corto_hace2,0.000782722,0.000630342,,,,,,,,,,,,
,,,,num_op_var41_hace3,0.000995184,0.000801442,,,,,,,,,,,,
0.0007,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,imp_aport_var13_hace3,0.000966667,0.000778477,,,,,,,,,,,,
,imp_op_var40_efect_ult3,0.000949976,0.00072336,,39,,,,,,,,,,,,,
,saldo_medio_var12_ult1,0.000926473,0.000705464,saldo_medio_var12_ult1,0.000409757,0.000329985,saldo_medio_var12_ult1,0.005225578,0.003855577,,,,,,,,,
,,,,num_var37_0,0.000925277,0.000745144,,,,,,,,,,,,
0.0006,,,,,,,,,,,,,,,,,,
,,,,num_var41_0,0.000865841,0.000697279,,,,,,,,,,,,
,imp_aport_var13_hace3,0.00083061,0.000632469,,43,,,,,,,,,,,,,
,,,,num_op_var39_efect_ult3,0.000774303,0.000623562,,,,,,,,,,,,
0.0005,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
40,,,,num_meses_var13_corto_ult3,0.00069763,0.000561815,,,,,,,,,,,,
42,,,,ind_var26_cte,0.000655559,0.000527935,,,,,,,,,,,,
,,,,var21,0.000643383,0.000518129,,,,,,,,,,,,
