"","Feature","Gain","Cover","Frequence"
"1","saldo_var29",0.40853716942626,0.148273811301118,0.0585170340681363
"2","saldo_medio_var5_hace2",0.0824887607994118,0.108347564213083,0.105811623246493
"3","ID",0.0644264148603873,0.0275695039128552,0.143486973947896
"4","imp_venta_var44_ult1",0.0520521455191072,0.0596553354259068,0.0849699398797595
"5","saldo_medio_var5_ult1",0.0428482594678229,0.0365447839011604,0.0645290581162325
"6","imp_op_var40_comer_ult3",0.0391213187719364,0.135201850533442,0.0432865731462926
"7","imp_op_var41_efect_ult1",0.0365318014047511,0.0771251951812532,0.0284569138276553
"8","imp_sal_var16_ult1",0.0317408409044118,0.00184117936865046,0.0180360721442886
"9","saldo_var6",0.0224029367046611,0.0572912364300653,0.0272545090180361
"10","saldo_var33",0.0219118356685494,0.0420287338625691,0.0444889779559118
"11","saldo_var1",0.0204440193088714,0.0112334608683313,0.0380761523046092
"12","saldo_medio_var5_hace3",0.0200589396614567,0.0152242193002917,0.0400801603206413
"13","imp_reemb_var17_ult1",0.0116711777882017,0.00937329854571285,0.0256513026052104
"14","saldo_var30",0.0110749315952956,0.0480257980475578,0.0168336673346693
"15","TARGET",0.00984008585007161,0.0173457798805812,0.0208416833667335
"16","imp_op_var39_comer_ult1",0.00972457921273075,0.0105361664154663,0.0224448897795591
"17","imp_ent_var16_ult1",0.00955197671930503,0.00203190869756206,0.0212424849699399
"18","imp_op_var40_efect_ult1",0.00904675687038081,0.0208887340322669,0.0132264529058116
"19","saldo_medio_var8_hace3",0.00871431240822295,0.0139066147951432,0.0172344689378758
"20","imp_var43_emit_ult1",0.00834659913843758,0.0055267088151125,0.0144288577154309
"21","imp_op_var41_efect_ult3",0.00819608450507339,0.00661929780200973,0.0140280561122244
"22","imp_op_var41_comer_ult1",0.00667587441463144,0.00718959729472273,0.0104208416833667
"23","saldo_medio_var8_ult1",0.00593777440518509,0.00697546334826078,0.0128256513026052
"24","saldo_medio_var8_ult3",0.00574467329694454,0.010008971627429,0.0148296593186373
"25","imp_op_var40_comer_ult1",0.00571166093230467,0.00396966487984744,0.00561122244488978
"26","saldo_medio_var12_ult1",0.00522557753110742,0.0137817820502759,0.00681362725450902
"27","imp_op_var41_comer_ult3",0.004746655053611,0.000876614707489872,0.00841683366733467
"28","saldo_medio_var8_hace2",0.00461122908093268,0.0237873018979411,0.0112224448897796
"29","saldo_var8",0.00427826488222446,0.00692807727848047,0.00440881763527054
"30","saldo_medio_var5_ult3",0.00427119466904105,0.0119561790553096,0.011623246492986
"31","saldo_var13_largo",0.00423287724845795,0.00656877946136389,0.00400801603206413
"32","saldo_var26",0.00352245519130949,0.00220790848201305,0.00841683366733467
"33","imp_amort_var34_ult1",0.00267347138492677,0.00367028026413026,0.00360721442885772
"34","delta_imp_amort_var34_1y3",0.00251134859758542,0.00293997685075649,0.00280561122244489
"35","imp_var7_emit_ult1",0.00214482075276492,0.0121684172208691,0.00440881763527054
"36","imp_op_var39_efect_ult3",0.00146205657387307,0.00447027124040283,0.00240480961923848
"37","saldo_var40",0.00116937780645805,3.85795517729148e-05,0.00200400801603206
"38","imp_op_var40_ult1",0.00116127325188371,0.00135001325050052,0.00440881763527054
"39","imp_op_var39_ult1",0.000928762121669584,0.0121659631035541,0.0032064128256513
"40","saldo_var24",0.000797327985302218,0.000261207336192249,0.00280561122244489
"41","saldo_medio_var12_hace2",0.000796925825279436,0.00486896046148862,0.00360721442885772
"42","imp_op_var39_comer_ult3",0.000747816901961528,0.000232479225501602,0.00240480961923848
"43","saldo_medio_var12_hace3",0.000709907150442613,0.000621871766141186,0.000801603206412826
"44","saldo_var20",0.00065841459320022,0.00332670514126192,0.00200400801603206
"45","saldo_var13",0.00022482179133605,0.00317432897115032,0.00200400801603206
"46","imp_op_var40_efect_ult3",0.000190320023391691,0.0018372047916323,0.000400801603206413
"47","saldo_var12",8.23662063548381e-05,1.24647298958879e-06,0.000400801603206413
"48","saldo_medio_var12_ult3",5.18057424731201e-05,3.09729383826453e-05,0.00120240480961924
